;
Learning Object 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/hm/50/ts/78/hm50ts782
-----------------------------------------------------------
:
-----------------------------------------------------------
-
Learning Object 	 2	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/td/96/k3/41/td96k3416
Report 	 9	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/6t/05/3h/27/6t053h27k
Research Material 	 8	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/4b/29/b9/25/4b29b925q
Journal Article (Published) 	 2	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/54/25/kd/56/5425kd56m
Dataset 	 123	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/ct/x3/1q/h8/ctx31qh854
Conference/workshop Presentation 	 17	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/zs/25/xc/40/zs25xc40b
-----------------------------------------------------------
/
Learning Object 	 173	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/25/14/nk/86/2514nk86f
Report 	 7860	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/m9/00/nt/46/m900nt463
Image 	 2306	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/x9/20/fz/28/x920fz28g
Research Material 	 395	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/pn/89/d7/33/pn89d7334
Thesis 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/z8/90/rv/50/z890rv50m
Journal Article (Published) 	 106	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bh/h6/3s/v8/bhh63sv88r
Dataset 	 26	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b2/v2/3v/t4/b2v23vt40x
Journal Article (Draft-Submitted) 	 23	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cc/08/hg/06/cc08hg06c
Conference/workshop Poster 	 94	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/2n/49/t2/40/2n49t240j
Book 	 21	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/pr/76/f4/64/pr76f464c
Review 	 21	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/h1/28/nf/32/h128nf324
Conference/workshop Presentation 	 259	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/4x/51/hk/28/4x51hk28f
Structural Engineering Report 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/g1/58/bh/41/g158bh417
-----------------------------------------------------------
.
Image 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/7s/75/dd/40/7s75dd40r
-----------------------------------------------------------
,
Research Material 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/2b/88/qd/56/2b88qd56n
-----------------------------------------------------------
 
Report 	 3	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/2r/36/v0/04/2r36v0044
Research Material 	 5	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/2b/88/qd/56/2b88qd56n
Journal Article (Published) 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/sj/13/93/63/sj139363v
Conference/workshop Presentation 	 2	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/79/40/80/93/79408093n
Review 	 2	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/1z/40/ks/84/1z40ks843
Conference/workshop Poster 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/jh/34/3w/06/jh343w060
-----------------------------------------------------------
