;
-----------------------------------------------------------
:
-----------------------------------------------------------
-
-----------------------------------------------------------
/
-----------------------------------------------------------
.
-----------------------------------------------------------
,
Learning Object 	 2	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c2/47/ds/16/c247ds16m
Report 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bt/x3/1q/h7/btx31qh77f
Conference/workshop Presentation 	 7	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/j0/98/zc/55/j098zc558
Review 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/mp/48/sc/82/mp48sc827
Conference/workshop Poster 	 2	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/70/79/58/28/70795828d
-----------------------------------------------------------
 
Learning Object 	 2	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c2/47/ds/16/c247ds16m
Report 	 2	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bv/40/5s/94/bv405s948v
Research Material 	 3	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/ms/35/t9/39/ms35t939d
Conference/workshop Presentation 	 7	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/wm/11/7p/99/wm117p99c
Dataset 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/80/49/g6/83/8049g683b
Review 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/mp/48/sc/82/mp48sc827
Structural Engineering Report 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/gx/41/mj/05/gx41mj05p
Conference/workshop Poster 	 2	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/70/79/58/28/70795828d
-----------------------------------------------------------
